"Title","Date"
"""정치인 게섯거라""…브라질서 AI가 만든 조례, 만장일치 통과"," 뉴시스언론사 선정2023.12.05.네이버뉴스 "
"마크롱 “EU AI혁신 막을 것” 경고…AI규제안 막판 변수 떠올라"," 이데일리언론사 선정2023.12.12.네이버뉴스 "
"""생성AI는 고위험 기술"" EU 법안, 韓 AI 규제는 어디로?"," 머니투데이2023.12.11.네이버뉴스 "
"""EU, 챗GPT 대항할 'AI 법' 잠정 합의""…'가장 광범위한 규제'"," 연합뉴스2023.12.07.네이버뉴스 "
"'안전한 AI' 글로벌 논의 가속…우리나라는?"," 머니투데이방송2023.12.12. "
"(금요아침) AI 시대에 유럽을 보는 이유"," 전기신문2023.12.21. "
"(금요아침) AI 시대에 유럽을 보는 이유"," 전기신문2023.12.21. "
"EU, 세계 최초 ‘AI 규제법’ 합의…안면인식 생체정보 수집 금지"," 국민일보2023.12.10.네이버뉴스 "
"EU, 세계 최초 'AI 규제법' 합의...'어길 시 벌금 500억 부과'"," JTBC언론사 선정2023.12.09.네이버뉴스 "
"여당 비협조에 ‘광주 AI영재고’ 표류"," 광주매일신문2023.12.21. "
"세계는 지금 '선거철 AI딥페이크' 주의보⋯ ""거짓의 쓰나미가 온다"""," 아시아타임즈2023.12.28. "
"美-英, MS '오픈AI 독점 가능성' 조사…앱 논란 속에 EU, AI규제법 합의"," SBS Biz언론사 선정2023.12.11.네이버뉴스 "
"""AI 반도체""… 시장의 주요 이슈"," 디지털비즈온2023.12.30. "
"AI가 내 평판 긁어 ‘점수’ 매긴다면… ‘마이너리티 리포트’ 법 생겼..."," 한겨레언론사 선정2면 1단2023.12.10.네이버뉴스 "
"전세계 선거 시즌 앞두고 'AI 주의보'…""가짜뉴스 판칠 것"""," 데일리굿뉴스2023.12.27. "
"배달라이더 범죄 경력 조회·공교육 AI 강화 민생법안 통과"," 국회방송2023.12.22. "
"AI가 내 평판 긁어 ‘점수’ 매긴다면… ‘마이너리티 리포트’ 법 생겼..."," 한겨레언론사 선정2면 1단2023.12.10.네이버뉴스 "
"유럽, 세계 최초 포괄적인 'AI규제법'에 합의"," 천지일보2023.12.09. "
"전세계 선거 시즌 앞두고 'AI 주의보'…""가짜뉴스 판칠 것"""," 데일리굿뉴스2023.12.27. "
"배달라이더 범죄 경력 조회·공교육 AI 강화 민생법안 통과"," 국회방송2023.12.22. "
"한국방송협회 ""빅테크, 허락없이 저작물 AI 학습에 써선 안 돼"""," 기자협회보언론사 선정2023.12.14.네이버뉴스 "
"국회, 예산부수법안 처리…결혼·출산시 3억원까지 증여 공제"," 굿모닝경제2023.12.21. "
"EU의 AI 규제법, 8일(한국시각) 타결 되나"," 매일경제2023.12.08.네이버뉴스 "
"AI 주도권 다툼, 결국 '밥그릇' 싸움되나"," 주간한국2023.12.15. "
"두 개의 전쟁, 최악 폭염, AI 논쟁... 지구촌 경고음 더 커졌다 [세계 10..."," 한국일보11면 1단2023.12.28.네이버뉴스 "
"EU 세계 첫 AI 규제법 도입 합의...2026년 발효 전망"," 뉴스핌2023.12.11. "
"EU 세계 첫 AI 규제법 도입 합의...2026년 발효 전망"," 뉴스핌2023.12.11. "
"과기정통부, AI 규범 의견수렴 나서...""미·EU식 균형 접근 필요"""," AI타임스2023.12.29. "
"EU, 챗GPT 등 AI 규제법 합의 임박…이번 주 잠정 합의 기대"," 조세일보언론사 선정2023.12.07.네이버뉴스 "
"만장일치 통과된 브라질 조례…""사실은 AI가 만든 것"" 충격 고백"," 중앙일보2023.12.05.네이버뉴스 "
"EU, 세계 첫 'AI규제법' 합의…안면인식 등 엄격통제"," 연합뉴스TV2023.12.10.네이버뉴스 "
"시대가 바꾼 선거법…총선 90일 전부터 'AI 후보 금지'"," 연합뉴스TV2023.12.23.네이버뉴스 "
"달빛철도 특별법·광주AI영재고 등 지역현안 국회처리 지연"," 헤럴드경제2023.12.20.네이버뉴스 "
"[중앙시평] AI 규제, EU 방식은 정답이 아니다"," 중앙일보A31면 1단2023.12.14.네이버뉴스 "
"[데스크의 눈]AI 규제법 서둘러야 하는 진짜 이유"," 이데일리A25면 2단2023.12.13.네이버뉴스 "
"[2023 결산 ④ SW] 달아오른 AI 경쟁, 무대는 서비스로…'법제화'도 관건"," 테크월드2023.12.14. "
"[데스크의 눈]AI 규제법 서둘러야 하는 진짜 이유"," 이데일리A25면 2단2023.12.13.네이버뉴스 "
"[2023 결산 ④ SW] 달아오른 AI 경쟁, 무대는 서비스로…'법제화'도 관건"," 테크월드2023.12.14. "
"교육감들, '교부금 1% 디지털 교육 사용' 법안 철회 요구"," 뉴시스언론사 선정2023.12.05.네이버뉴스 "
"세계 첫 'AI 규제법' 이르면 오늘 타결…EU, 오픈소스 모델은 제외할듯"," 뉴스12023.12.08.네이버뉴스 "
"로이터 “EU, 챗GPT 등 생성형AI 포괄적 규제법안 합의 가까워져”"," 서울경제2023.12.07.네이버뉴스 "
"EU, 마라톤 회의 끝…세계 최초 ‘AI 규제법’ 합의"," EBN2023.12.09. "
"EU, 세계 첫 'AI 규제법' 합의…안면인식 등 통제"," 뉴스웨이2023.12.11. "
"[리더스포럼]인공지능(AI), 기회와 위험의 공존"," 전자신문27면 3단2023.12.20.네이버뉴스 "
